,Name,DIY,Buy_Price,Sell_Price,Color_1,Color_2,Style,type,Balance
93,boa fleece,No,1400,350,Blue,Black,Active,Top,-1050
94,boa fleece,No,1400,350,Beige,Orange,Active,Top,-1050
95,boa fleece,No,1400,350,Pink,Blue,Active,Top,-1050
96,boa fleece,No,1400,350,Yellow,Blue,Active,Top,-1050
97,boa fleece,No,1400,350,Green,Green,Active,Top,-1050
98,bold aloha shirt,No,960,240,Blue,Red,Active,Top,-720
99,bold aloha shirt,No,960,240,Pink,Light blue,Active,Top,-720
100,bomber-style jacket,No,1440,360,Green,Green,Cool,Top,-1080
101,bomber-style jacket,No,1440,360,Black,Black,Cool,Top,-1080
102,bomber-style jacket,No,1440,360,Blue,Blue,Cool,Top,-1080
103,bomber-style jacket,No,1440,360,Brown,Brown,Cool,Top,-1080
104,bone tee,No,640,160,Yellow,White,Simple,Top,-480
105,bonjour tee,No,640,160,White,Red,Simple,Top,-480
106,botanical tee,No,800,200,Black,Red,Cool,Top,-600
107,botanical tee,No,800,200,White,Red,Cool,Top,-600
108,bowling shirt,No,1260,315,Red,Black,Cool,Top,-945
109,bowling shirt,No,1260,315,Blue,Black,Cool,Top,-945
110,bowling shirt,No,1260,315,Yellow,Black,Cool,Top,-945
111,bowling shirt,No,1260,315,Orange,Black,Cool,Top,-945
112,bowling shirt,No,1260,315,Beige,Black,Cool,Top,-945
113,bowling shirt,No,1260,315,Green,Black,Cool,Top,-945
114,bowling shirt,No,1260,315,Light blue,Black,Cool,Top,-945
115,bowling shirt,No,1260,315,Purple,Black,Cool,Top,-945
116,bug aloha shirt,No,0,240,Black,Red,Cool,Top,240
117,bulldog jacket,No,1440,360,Black,White,Cool,Top,-1080
118,bulldog jacket,No,1440,360,White,Black,Cool,Top,-1080
119,bulldog jacket,No,1440,360,Red,Black,Cool,Top,-1080
120,business suitcoat,No,1960,490,Black,Blue,Cool,Top,-1470
121,business suitcoat,No,1960,490,Gray,Pink,Cool,Top,-1470
122,business suitcoat,No,1960,490,Light blue,Light blue,Cool,Top,-1470
123,business suitcoat,No,1960,490,Red,Red,Cool,Top,-1470
124,business suitcoat,No,1960,490,Blue,Red,Cool,Top,-1470
125,café uniform,No,1500,375,Black,White,Elegant,Top,-1125
126,café uniform,No,1500,375,Green,White,Elegant,Top,-1125
127,café uniform,No,1500,375,Red,White,Elegant,Top,-1125
128,café uniform,No,1500,375,Brown,White,Elegant,Top,-1125
129,camo bomber-style jacket,No,1400,350,Green,Beige,Cool,Top,-1050
130,camo bomber-style jacket,No,1400,350,Gray,Black,Cool,Top,-1050
131,camo bomber-style jacket,No,1400,350,Purple,Green,Cool,Top,-1050
132,camo tee,No,960,240,Brown,Beige,Cool,Top,-720
133,camo tee,No,960,240,Green,Beige,Cool,Top,-720
134,camo tee,No,960,240,Pink,Brown,Cool,Top,-720
135,camo tee,No,960,240,Gray,Black,Cool,Top,-720
136,camo tee,No,960,240,Blue,Blue,Cool,Top,-720
137,camo tee,No,960,240,Purple,Purple,Cool,Top,-720
138,camo tee,No,960,240,Red,Beige,Cool,Top,-720
139,camper tee,No,840,210,Green,Green,Simple,Top,-630
140,cardigan-shirt combo,No,840,210,Yellow,White,Simple,Top,-630
141,cardigan-shirt combo,No,840,210,Green,White,Simple,Top,-630
142,cardigan-shirt combo,No,840,210,Pink,White,Simple,Top,-630
143,cardigan-shirt combo,No,840,210,Blue,White,Simple,Top,-630
144,cardigan-shirt combo,No,840,210,Gray,White,Simple,Top,-630
145,cardigan-shirt combo,No,840,210,Black,White,Simple,Top,-630
146,career jacket,No,1680,420,Gray,White,Simple,Top,-1260
147,career jacket,No,1680,420,Beige,White,Simple,Top,-1260
148,career jacket,No,1680,420,Pink,White,Simple,Top,-1260
149,career jacket,No,1680,420,Light blue,White,Simple,Top,-1260
150,career jacket,No,1680,420,Pink,Black,Simple,Top,-1260
151,career jacket,No,1680,420,Green,Black,Simple,Top,-1260
152,career jacket,No,1680,420,Blue,Black,Simple,Top,-1260
153,career jacket,No,1680,420,Red,Black,Simple,Top,-1260
154,cavalier shirt,No,2080,520,Blue,Yellow,Elegant,Top,-1560
155,cavalier shirt,No,2080,520,Red,Yellow,Elegant,Top,-1560
156,cavalier shirt,No,2080,520,Green,Yellow,Elegant,Top,-1560
157,checkered chesterfield coat,No,2380,595,Brown,Beige,Elegant,Top,-1785
158,checkered chesterfield coat,No,2380,595,Green,White,Elegant,Top,-1785
159,checkered chesterfield coat,No,2380,595,Light blue,Black,Elegant,Top,-1785
160,checkered chesterfield coat,No,2380,595,Gray,Blue,Elegant,Top,-1785
161,checkered muffler,No,1440,360,White,Blue,Simple,Top,-1080
162,checkered muffler,No,1440,360,Gray,Brown,Simple,Top,-1080
163,checkered muffler,No,1440,360,Brown,Yellow,Simple,Top,-1080
164,checkered muffler,No,1440,360,Beige,Red,Simple,Top,-1080
165,chef's outfit,No,1680,420,White,Red,Simple,Top,-1260
166,chef's outfit,No,1680,420,White,Blue,Simple,Top,-1260
167,chef's outfit,No,1680,420,White,Green,Simple,Top,-1260
168,chef's outfit,No,1680,420,White,Yellow,Simple,Top,-1260
169,chef's outfit,No,1680,420,White,Orange,Simple,Top,-1260
170,chef's outfit,No,1680,420,White,Brown,Simple,Top,-1260
171,chef's outfit,No,1680,420,White,Black,Simple,Top,-1260
172,chesterfield coat,No,2320,580,Beige,Black,Cool,Top,-1740
173,chesterfield coat,No,2320,580,Brown,Red,Cool,Top,-1740
174,chesterfield coat,No,2320,580,Black,Gray,Cool,Top,-1740
175,chesterfield coat,No,2320,580,Gray,Green,Cool,Top,-1740
176,chick tee,No,800,200,White,Light blue,Simple,Top,-600
177,Chimayo vest,No,1120,280,Blue,Red,Elegant,Top,-840
178,Chimayo vest,No,1120,280,Red,Green,Elegant,Top,-840
179,Chimayo vest,No,1120,280,White,Blue,Elegant,Top,-840
180,Chimayo vest,No,1120,280,Light blue,Gray,Elegant,Top,-840
181,ciao tee,No,640,160,Red,White,Simple,Top,-480
182,coatigan,No,2380,595,Purple,White,Elegant,Top,-1785
183,coatigan,No,2380,595,Pink,White,Elegant,Top,-1785
184,coatigan,No,2380,595,Light blue,White,Elegant,Top,-1785
185,coatigan,No,2380,595,Gray,White,Elegant,Top,-1785
186,coatigan,No,2380,595,Green,White,Elegant,Top,-1785
187,collarless coat,No,2000,500,Gray,Black,Simple,Top,-1500
188,collarless coat,No,2000,500,Beige,Black,Simple,Top,-1500
189,collarless coat,No,2000,500,Pink,Black,Simple,Top,-1500
190,collarless shirt,No,960,240,Black,Black,Simple,Top,-720
191,collarless shirt,No,960,240,White,White,Simple,Top,-720
192,college cardigan,No,1200,300,Blue,Yellow,Simple,Top,-900
193,college cardigan,No,1200,300,Red,Orange,Simple,Top,-900
194,college cardigan,No,1200,300,Gray,Blue,Simple,Top,-900
195,college cardigan,No,1200,300,Orange,Blue,Simple,Top,-900
196,college cardigan,No,1200,300,White,Yellow,Simple,Top,-900
197,color-block dress shirt,No,960,240,Light blue,Blue,Simple,Top,-720
198,color-block dress shirt,No,960,240,Red,Brown,Simple,Top,-720
199,color-block dress shirt,No,960,240,Green,Green,Simple,Top,-720
200,color-block dress shirt,No,960,240,Pink,Purple,Simple,Top,-720
201,color-block dress shirt,No,960,240,Yellow,Green,Simple,Top,-720
202,color-block dress shirt,No,960,240,Gray,Black,Simple,Top,-720
203,colorful striped sweater,No,1200,300,Blue,Red,Elegant,Top,-900
204,colorful striped sweater,No,1200,300,White,Blue,Elegant,Top,-900
205,colorful striped sweater,No,1200,300,White,Red,Elegant,Top,-900
206,colorful striped sweater,No,1200,300,Pink,Black,Elegant,Top,-900
207,colorful striped sweater,No,1200,300,Brown,Black,Elegant,Top,-900
208,colorful striped sweater,No,1200,300,Gray,Light blue,Elegant,Top,-900
209,comedian's outfit,No,2500,625,Orange,Green,Gorgeous,Top,-1875
210,comedian's outfit,No,2500,625,Blue,Purple,Gorgeous,Top,-1875
211,comedian's outfit,No,2500,625,Red,Orange,Gorgeous,Top,-1875
212,comedian's outfit,No,2500,625,Yellow,Green,Gorgeous,Top,-1875
213,comedian's outfit,No,2500,625,Green,Light blue,Gorgeous,Top,-1875
214,comedian's outfit,No,2500,625,Purple,Red,Gorgeous,Top,-1875
215,comedian's outfit,No,2500,625,Green,Blue,Gorgeous,Top,-1875
216,comedian's outfit,No,2500,625,White,Green,Gorgeous,Top,-1875
217,Coral Nook Inc. aloha shirt,No,0,3000,Pink,White,Simple,Top,3000
218,coverall coat,No,1120,280,Green,Orange,Simple,Top,-840
219,coverall coat,No,1120,280,Blue,Beige,Simple,Top,-840
220,coverall coat,No,1120,280,Beige,Brown,Simple,Top,-840
221,coverall coat,No,1120,280,Red,Brown,Simple,Top,-840
222,cowboy shirt,No,2100,525,Beige,Blue,Simple,Top,-1575
223,cowboy shirt,No,2100,525,Red,Brown,Simple,Top,-1575
224,cowboy shirt,No,2100,525,Blue,Black,Simple,Top,-1575
225,cowboy shirt,No,2100,525,Light blue,Green,Simple,Top,-1575
226,cowboy shirt,No,2100,525,Orange,Brown,Simple,Top,-1575
227,cycling shirt,No,1200,300,White,Blue,Active,Top,-900
228,cycling shirt,No,1200,300,Blue,Black,Active,Top,-900
229,cycling shirt,No,1200,300,Red,Black,Active,Top,-900
230,cycling shirt,No,1200,300,Black,Yellow,Active,Top,-900
231,cycling shirt,No,1200,300,Green,Red,Active,Top,-900
232,cycling shirt,No,1200,300,Orange,Gray,Active,Top,-900
233,cycling shirt,No,1200,300,Light blue,Purple,Active,Top,-900
234,cycling shirt,No,1200,300,Pink,Purple,Active,Top,-900
235,DAL apron,No,0,1010,Blue,White,Simple,Top,1010
236,DAL pilot jacket,No,0,1010,Green,Green,Cool,Top,1010
237,DAL tee,No,0,1010,Blue,White,Simple,Top,1010
238,dance-team jacket,No,1680,420,Black,Yellow,Active,Top,-1260
239,dance-team jacket,No,1680,420,White,Yellow,Active,Top,-1260
240,dance-team jacket,No,1680,420,Purple,Yellow,Active,Top,-1260
241,dance-team jacket,No,1680,420,Red,Yellow,Active,Top,-1260
242,danger tank,No,640,160,Yellow,Black,Active,Top,-480
243,denim jacket,No,1400,350,Blue,Blue,Simple,Top,-1050
244,denim jacket,No,1400,350,Light blue,Light blue,Simple,Top,-1050
245,denim jacket,No,1400,350,Black,Black,Simple,Top,-1050
246,denim jacket,No,1400,350,White,White,Simple,Top,-1050
247,denim vest,No,1120,280,Light blue,White,Active,Top,-840
248,denim vest,No,1120,280,Blue,White,Active,Top,-840
249,denim vest,No,1120,280,Black,White,Active,Top,-840
250,denim vest,No,1120,280,White,White,Active,Top,-840
251,detective's coat,No,2500,625,Brown,Brown,Elegant,Top,-1875
252,detective's coat,No,2500,625,Gray,Gray,Elegant,Top,-1875
253,detective's coat,No,2500,625,Beige,Beige,Elegant,Top,-1875
254,diner apron,No,840,210,Pink,White,Active,Top,-630
255,diner apron,No,840,210,Red,White,Active,Top,-630
256,diner apron,No,840,210,Blue,White,Active,Top,-630
257,diner apron,No,840,210,Yellow,White,Active,Top,-630
258,diner apron,No,840,210,Green,White,Active,Top,-630
259,diner apron,No,840,210,Beige,White,Active,Top,-630
260,diner apron,No,840,210,Black,White,Active,Top,-630
261,doctor's coat,No,2160,540,White,Red,Simple,Top,-1620
262,doctor's coat,No,2160,540,White,Black,Simple,Top,-1620
263,dolly shirt,No,960,240,Pink,Pink,Cute,Top,-720
264,dolly shirt,No,960,240,Light blue,Blue,Cute,Top,-720
265,dolly shirt,No,960,240,Yellow,Orange,Cute,Top,-720
266,dolly shirt,No,960,240,Purple,Pink,Cute,Top,-720
267,dotted raincoat,No,1600,400,Light blue,Pink,Cute,Top,-1200
268,dotted raincoat,No,1600,400,Pink,Orange,Cute,Top,-1200
269,dotted raincoat,No,1600,400,Green,Yellow,Cute,Top,-1200
270,dotted raincoat,No,1600,400,Blue,Green,Cute,Top,-1200
271,dotted raincoat,No,1600,400,Light blue,Yellow,Cute,Top,-1200
272,dotted raincoat,No,1600,400,Gray,Yellow,Cute,Top,-1200
273,doublet,No,1520,380,Black,White,Simple,Top,-1140
274,doublet,No,1520,380,Blue,White,Simple,Top,-1140
275,doublet,No,1520,380,Green,White,Simple,Top,-1140
276,doublet,No,1520,380,Red,White,Simple,Top,-1140
277,down jacket,No,1120,280,Blue,Blue,Active,Top,-840
278,down jacket,No,1120,280,Black,Black,Active,Top,-840
279,down jacket,No,1120,280,Red,Red,Active,Top,-840
280,down jacket,No,1120,280,White,White,Active,Top,-840
281,down jacket,No,1120,280,Green,Green,Active,Top,-840
282,down jacket,No,1120,280,Yellow,Yellow,Active,Top,-840
283,down jacket,No,1120,280,Orange,Orange,Active,Top,-840
284,down ski jacket,No,1680,420,Red,Yellow,Active,Top,-1260
285,down ski jacket,No,1680,420,Blue,Green,Active,Top,-1260
286,down ski jacket,No,1680,420,Blue,Light blue,Active,Top,-1260
287,down ski jacket,No,1680,420,Blue,Red,Active,Top,-1260
288,dragon jacket,No,2000,500,Black,Yellow,Active,Top,-1500
289,dreamy sweater,No,1440,360,Pink,Light blue,Cute,Top,-1080
290,dreamy sweater,No,1440,360,Blue,Purple,Cute,Top,-1080
291,dress shirt,No,560,140,White,White,Simple,Top,-420
292,dress shirt,No,560,140,Gray,Gray,Simple,Top,-420
293,dress shirt,No,560,140,Green,Green,Simple,Top,-420
294,dress shirt,No,560,140,Pink,Pink,Simple,Top,-420
295,dress shirt,No,560,140,Blue,Blue,Simple,Top,-420
296,earbuds combo,No,1400,350,Brown,Black,Cool,Top,-1050
297,earbuds combo,No,1400,350,Green,Black,Cool,Top,-1050
298,earbuds combo,No,1400,350,Blue,Black,Cool,Top,-1050
299,earbuds combo,No,1400,350,Yellow,Black,Cool,Top,-1050
300,eight-ball tee,No,560,140,Black,White,Active,Top,-420
301,emblem blazer,No,1960,490,Green,Red,Elegant,Top,-1470
302,emblem blazer,No,1960,490,Blue,Blue,Elegant,Top,-1470
303,emblem blazer,No,1960,490,Brown,Green,Elegant,Top,-1470
304,emblem blazer,No,1960,490,Red,Pink,Elegant,Top,-1470
305,embroidered tank,No,960,240,Red,White,Cute,Top,-720
306,embroidered tank,No,960,240,Purple,White,Cute,Top,-720
307,embroidered tank,No,960,240,Blue,White,Cute,Top,-720
308,embroidered tank,No,960,240,Pink,White,Cute,Top,-720
309,embroidered tank,No,960,240,Green,White,Cute,Top,-720
310,embroidered tank,No,960,240,Orange,White,Cute,Top,-720
311,energetic sweater,No,960,240,Yellow,Light blue,Simple,Top,-720
312,energetic sweater,No,960,240,Light blue,Pink,Simple,Top,-720
313,energetic sweater,No,960,240,Purple,Green,Simple,Top,-720
314,energetic sweater,No,960,240,Pink,Yellow,Simple,Top,-720
315,explorer shirt,No,1120,280,Beige,Orange,Active,Top,-840
316,explorer shirt,No,1120,280,Green,Red,Active,Top,-840
317,explorer shirt,No,1120,280,Gray,Green,Active,Top,-840
318,explorer shirt,No,1120,280,Blue,Yellow,Active,Top,-840
319,faux-hair sweater,No,1200,300,Red,Black,Cool,Top,-900
320,faux-hair sweater,No,1200,300,White,Black,Cool,Top,-900
321,faux-shearling coat,No,1680,420,Beige,White,Elegant,Top,-1260
322,faux-shearling coat,No,1680,420,Pink,White,Elegant,Top,-1260
323,faux-shearling coat,No,1680,420,Green,White,Elegant,Top,-1260
324,faux-shearling coat,No,1680,420,Black,White,Elegant,Top,-1260
325,faux-shearling coat,No,1680,420,Gray,White,Elegant,Top,-1260
326,fischerhemd,No,1800,450,Blue,Red,Simple,Top,-1350
327,fish-print tee,No,0,160,Beige,Yellow,Simple,Top,160
328,fishing vest,No,1440,360,Red,White,Active,Top,-1080
329,fishing vest,No,1440,360,Blue,White,Active,Top,-1080
330,fishing vest,No,1440,360,Orange,White,Active,Top,-1080
331,fishing vest,No,1440,360,Purple,White,Active,Top,-1080
332,fishing vest,No,1440,360,Black,White,Active,Top,-1080
333,fishing vest,No,1440,360,Pink,White,Active,Top,-1080
334,fishing vest,No,1440,360,Green,White,Active,Top,-1080
335,fitness tank,No,800,200,Green,Black,Active,Top,-600
336,fitness tank,No,800,200,Pink,Black,Active,Top,-600
337,fitness tank,No,800,200,Light blue,Black,Active,Top,-600
338,fitness tank,No,800,200,Orange,Black,Active,Top,-600
339,fitness tank,No,800,200,Black,Black,Active,Top,-600
340,fitness tank,No,800,200,Yellow,Black,Active,Top,-600
341,fitness tank,No,800,200,Red,Black,Active,Top,-600
342,fitness tank,No,800,200,Purple,Black,Active,Top,-600
343,five-ball tee,No,560,140,Orange,White,Active,Top,-420
344,flame tee,No,800,200,Red,Black,Active,Top,-600
345,flannel shirt,No,1200,300,Red,Black,Simple,Top,-900
346,flannel shirt,No,1200,300,Green,Black,Simple,Top,-900
347,flannel shirt,No,1200,300,Blue,Black,Simple,Top,-900
348,flannel shirt,No,1200,300,Beige,Black,Simple,Top,-900
349,flannel shirt,No,1200,300,Purple,Black,Simple,Top,-900
350,flashy cardigan,No,1200,300,Red,Colorful,Gorgeous,Top,-900
351,flashy cardigan,No,1200,300,Blue,Colorful,Gorgeous,Top,-900
352,flashy jacket,No,1960,490,White,Red,Gorgeous,Top,-1470
353,flashy jacket,No,1960,490,Black,Yellow,Gorgeous,Top,-1470
354,flashy jacket,No,1960,490,Purple,Blue,Gorgeous,Top,-1470
355,flashy jacket,No,1960,490,Red,Black,Gorgeous,Top,-1470
356,flashy jacket,No,1960,490,Green,Green,Gorgeous,Top,-1470
357,flashy jacket,No,1960,490,Yellow,Purple,Gorgeous,Top,-1470
358,flight jacket,No,1680,420,Brown,Beige,Cool,Top,-1260
359,flight jacket,No,1680,420,Black,Gray,Cool,Top,-1260
360,flight jacket,No,1680,420,Green,Orange,Cool,Top,-1260
361,flower sweater,No,1200,300,Red,White,Cute,Top,-900
362,flower sweater,No,1200,300,Green,Orange,Cute,Top,-900
363,flower sweater,No,1200,300,White,Red,Cute,Top,-900
364,flower sweater,No,1200,300,Yellow,Red,Cute,Top,-900
365,folk shirt,No,1300,325,Red,Beige,Simple,Top,-975
366,folk shirt,No,1300,325,Brown,Yellow,Simple,Top,-975
367,folk shirt,No,1300,325,Light blue,Gray,Simple,Top,-975
368,football shirt,No,1120,280,Green,White,Active,Top,-840
369,football shirt,No,1120,280,White,Black,Active,Top,-840
370,football shirt,No,1120,280,Yellow,Black,Active,Top,-840
371,football shirt,No,1120,280,Red,White,Active,Top,-840
372,football shirt,No,1120,280,Blue,White,Active,Top,-840
373,football shirt,No,1120,280,Green,Black,Active,Top,-840
374,football shirt,No,1120,280,Orange,Black,Active,Top,-840
375,football shirt,No,1120,280,Black,White,Active,Top,-840
376,four-ball tee,No,560,140,Purple,White,Active,Top,-420
377,frog tee,No,640,160,Beige,Green,Active,Top,-480
378,front-tie button-down shirt,No,800,200,Blue,Blue,Active,Top,-600
379,front-tie button-down shirt,No,800,200,Pink,Pink,Active,Top,-600
380,front-tie button-down shirt,No,800,200,Yellow,Yellow,Active,Top,-600
381,front-tie button-down shirt,No,800,200,Gray,Gray,Active,Top,-600
382,front-tie tee,No,640,160,Black,Black,Active,Top,-480
383,front-tie tee,No,640,160,White,White,Active,Top,-480
384,front-tie tee,No,640,160,Red,Red,Active,Top,-480
385,front-tie tee,No,640,160,Yellow,Yellow,Active,Top,-480
386,fuzzy vest,No,1300,325,Blue,Blue,Simple,Top,-975
387,fuzzy vest,No,1300,325,Beige,Beige,Simple,Top,-975
388,fuzzy vest,No,1300,325,Brown,Brown,Simple,Top,-975
389,fuzzy vest,No,1300,325,Green,Green,Simple,Top,-975
390,fuzzy vest,No,1300,325,Red,Gray,Simple,Top,-975
391,garden tank,No,1120,280,Pink,Pink,Cute,Top,-840
392,garden tank,No,1120,280,Blue,Purple,Cute,Top,-840
393,garden tank,No,1120,280,Orange,Orange,Cute,Top,-840
394,garden tank,No,1120,280,Green,Green,Cute,Top,-840
395,gilet and shirt,No,1120,280,Black,White,Cool,Top,-840
396,gilet and shirt,No,1120,280,Blue,White,Cool,Top,-840
397,gilet and shirt,No,1120,280,Red,Black,Cool,Top,-840
398,gilet and shirt,No,1120,280,Gray,Black,Cool,Top,-840
399,gingham picnic shirt,No,960,240,Red,White,Simple,Top,-720
400,gingham picnic shirt,No,960,240,Green,White,Simple,Top,-720
401,gingham picnic shirt,No,960,240,Blue,White,Simple,Top,-720
402,gingham picnic shirt,No,960,240,Black,White,Simple,Top,-720
403,gingham picnic shirt,No,960,240,Orange,White,Simple,Top,-720
404,gingham picnic shirt,No,960,240,Pink,White,Simple,Top,-720
405,gingham picnic shirt,No,960,240,Purple,White,Simple,Top,-720
406,gingham picnic shirt,No,960,240,Light blue,White,Simple,Top,-720
407,gold-print tee,No,1120,280,Black,Yellow,Cool,Top,-840
408,gold-print tee,No,1120,280,White,Yellow,Cool,Top,-840
409,gown coat,No,2000,500,Brown,Brown,Elegant,Top,-1500
410,gown coat,No,2000,500,Black,Black,Elegant,Top,-1500
411,gown coat,No,2000,500,Light blue,Blue,Elegant,Top,-1500
412,gown coat,No,2000,500,Red,Brown,Elegant,Top,-1500
413,graduation gown,No,3360,840,Black,Red,Simple,Top,-2520
414,graduation gown,No,3360,840,Black,Green,Simple,Top,-2520
415,graduation gown,No,3360,840,Black,Blue,Simple,Top,-2520
416,graduation gown,No,3360,840,Black,Yellow,Simple,Top,-2520
417,Green Nook Inc. aloha shirt,No,0,3000,Green,White,Simple,Top,3000
418,groovy shirt,No,1440,360,Orange,Orange,Cool,Top,-1080
419,groovy shirt,No,1440,360,Green,Green,Cool,Top,-1080
420,groovy shirt,No,1440,360,Red,Red,Cool,Top,-1080
421,groovy tunic,No,1680,420,Orange,Beige,Active,Top,-1260
422,groovy tunic,No,1680,420,Brown,Blue,Active,Top,-1260
